id,title,categories,abstract
0705.0738,The Optimization of a Novel Prismatic Drive,cs.RO,"  The design of a mechanical transmission taking into account the transmitted
forces is reported in this paper. This transmission is based on Slide-o-Cam, a
cam mechanism with multiple rollers mounted on a common translating follower.
The design of Slide-o-Cam, a transmission intended to produce a sliding motion
from a turning drive, or vice versa, was reported elsewhere. This transmission
provides pure-rolling motion, thereby reducing the friction of rack-and-pinions
and linear drives. The pressure angle is a relevant performance index for this
transmission because it determines the amount of force transmitted to the load
vs. that transmitted to the machine frame. To assess the transmission
capability of the mechanism, the Hertz formula is introduced to calculate the
stresses on the rollers and on the cams. The final transmission is intended to
replace the current ball-screws in the Orthoglide, a three-DOF parallel robot
for the production of translational motions, currently under development for
machining applications at Ecole Centrale de Nantes.
"
0904.3131,"Fortran programs for the time-dependent Gross-Pitaevskii equation in a
  fully anisotropic trap",cond-mat.quant-gas nlin.PS physics.comp-ph,"  We develop simple numerical algorithms for both stationary and non-stationary
solutions of the time-dependent Gross-Pitaevskii (GP) equation describing the
properties of Bose-Einstein condensates at ultra low temperatures. In
particular, we consider algorithms involving real and imaginary-time
propagation based on a split-step Crank-Nicolson method. In a
one-space-variable form of the GP equation we consider the one-dimensional
linear, two-dimensional circularly symmetric, and the three-dimensional
spherically-symmetric traps. In the two-space-variable form we consider the GP
equation in two-dimensional anisotropic and three-dimensional axially-symmetric
traps. The fully-anisotropic three-dimensional GP equation is also considered.
Numerical results for the chemical potential and root-mean-square size of
stationary states are reported using imaginary-time propagation programs for
all the cases and compared with previously obtained results. Also presented are
numerical results of non-stationary oscillation for different trap symmetries
using real-time propagation programs. A set of convenient working codes
developed in Fortran 77 are also provided for all these cases (twelve programs
in all). In the case of two or three space variables, {Fortran 90/95 versions
provide some simplification over the Fortran 77 programs}, and these programs
are also included (six programs in all).
"
0705.2895,Detectability of dissipative motion in quantum vacuum via superradiance,quant-ph gr-qc physics.atom-ph,"  We propose an experiment for generating and detecting vacuum-induced
dissipative motion. A high frequency mechanical resonator driven in resonance
is expected to dissipate energy in quantum vacuum via photon emission. The
photons are stored in a high quality electromagnetic cavity and detected
through their interaction with ultracold alkali-metal atoms prepared in an
inverted population of hyperfine states. Superradiant amplification of the
generated photons results in a detectable radio-frequency signal temporally
distinguishable from the expected background.
"
0704.1563,Use of Triangular Elements for Nearly Exact BEM Solutions,math.NA math-ph math.MP physics.comp-ph,"  A library of C functions yielding exact solutions of potential and flux
influences due to uniform surface distribution of singularities on flat
triangular and rectangular elements has been developed. This library, ISLES,
has been used to develop the neBEM solver that is both precise and fast in
solving a wide range of problems of scientific and technological interest. Here
we present the exact expressions proposed for computing the influence of
uniform singularity distributions on triangular elements and illustrate their
accuracy. We also present a study concerning the time taken to evaluate these
long and complicated expressions \textit{vis a vis} that spent in carrying out
simple quadratures. Finally, we solve a classic benchmark problem in
electrostatics, namely, estimation of the capacitance of a unit square plate
raised to unit volt. For this problem, we present the estimated values of
capacitance and compare them successfully with some of the most accurate
results available in the literature. In addition, we present the variation of
the charge density close to the corner of the plate for various degrees of
discretization. The variations are found to be smooth and converging. This is
in clear contrast to the criticism commonly leveled against usual BEM solvers.
"
0705.1397,Realistic Rendering of Kinetostatic Indices of Mechanisms,cs.RO,"  The work presented in this paper is related to the use of a haptic device in
an environment of robotic simulation. Such device introduces a new approach to
feel and to understand the boundaries of the workspace of mechanisms as well as
its kinetostatic properties. Indeed, these concepts are abstract and thus often
difficult to understand for the end-users. To catch his attention, we propose
to amplify the problems of the mechanisms in order to help him to take the good
decisions.
"
0710.2889,An efficient reduction of ranking to classification,cs.LG cs.IR,"  This paper describes an efficient reduction of the learning problem of
ranking to binary classification. The reduction guarantees an average pairwise
misranking regret of at most that of the binary classifier regret, improving a
recent result of Balcan et al which only guarantees a factor of 2. Moreover,
our reduction applies to a broader class of ranking loss functions, admits a
simpler proof, and the expected running time complexity of our algorithm in
terms of number of calls to a classifier or preference function is improved
from $\Omega(n^2)$ to $O(n \log n)$. In addition, when the top $k$ ranked
elements only are required ($k \ll n$), as in many applications in information
extraction or search engines, the time complexity of our algorithm can be
further reduced to $O(k \log k + n)$. Our reduction and algorithm are thus
practical for realistic applications where the number of points to rank exceeds
several thousands. Much of our results also extend beyond the bipartite case
previously studied.
  Our rediction is a randomized one. To complement our result, we also derive
lower bounds on any deterministic reduction from binary (preference)
classification to ranking, implying that our use of a randomized reduction is
essentially necessary for the guarantees we provide.
"
0801.3654,A path following algorithm for the graph matching problem,cs.CV cs.DM,"  We propose a convex-concave programming approach for the labeled weighted
graph matching problem. The convex-concave programming formulation is obtained
by rewriting the weighted graph matching problem as a least-square problem on
the set of permutation matrices and relaxing it to two different optimization
problems: a quadratic convex and a quadratic concave optimization problem on
the set of doubly stochastic matrices. The concave relaxation has the same
global minimum as the initial graph matching problem, but the search for its
global minimum is also a hard combinatorial problem. We therefore construct an
approximation of the concave problem solution by following a solution path of a
convex-concave problem obtained by linear interpolation of the convex and
concave formulations, starting from the convex relaxation. This method allows
to easily integrate the information on graph label similarities into the
optimization problem, and therefore to perform labeled weighted graph matching.
The algorithm is compared with some of the best performing graph matching
methods on four datasets: simulated graphs, QAPLib, retina vessel images and
handwritten chinese characters. In all cases, the results are competitive with
the state-of-the-art.
"
0708.3226,A Dichotomy Theorem for General Minimum Cost Homomorphism Problem,cs.LG cs.CC,"  In the constraint satisfaction problem ($CSP$), the aim is to find an
assignment of values to a set of variables subject to specified constraints. In
the minimum cost homomorphism problem ($MinHom$), one is additionally given
weights $c_{va}$ for every variable $v$ and value $a$, and the aim is to find
an assignment $f$ to the variables that minimizes $\sum_{v} c_{vf(v)}$. Let
$MinHom(\Gamma)$ denote the $MinHom$ problem parameterized by the set of
predicates allowed for constraints. $MinHom(\Gamma)$ is related to many
well-studied combinatorial optimization problems, and concrete applications can
be found in, for instance, defence logistics and machine learning. We show that
$MinHom(\Gamma)$ can be studied by using algebraic methods similar to those
used for CSPs. With the aid of algebraic techniques, we classify the
computational complexity of $MinHom(\Gamma)$ for all choices of $\Gamma$. Our
result settles a general dichotomy conjecture previously resolved only for
certain classes of directed graphs, [Gutin, Hell, Rafiey, Yeo, European J. of
Combinatorics, 2008].
"
1009.3410,Duality and canonical extensions for stably compact spaces,math.GN cs.LO math.CT math.LO,"  We construct a canonical extension for strong proximity lattices in order to
give an algebraic, point-free description of a finitary duality for stably
compact spaces. In this setting not only morphisms, but also objects may have
distinct pi- and sigma-extensions.
"
0704.0700,"Detailed kinetic study of the ring opening of cycloalkanes by CBS-QB3
  calculations",physics.chem-ph,"  This work reports a theoretical study of the gas phase unimolecular
decomposition of cyclobutane, cyclopentane and cyclohexane by means of quantum
chemical calculations. A biradical mechanism has been envisaged for each
cycloalkane, and the main routes for the decomposition of the biradicals formed
have been investigated at the CBS-QB3 level of theory. Thermochemical data
(\delta H^0_f, S^0, C^0_p) for all the involved species have been obtained by
means of isodesmic reactions. The contribution of hindered rotors has also been
included. Activation barriers of each reaction have been analyzed to assess the
1 energetically most favorable pathways for the decomposition of biradicals.
Rate constants have been derived for all elementary reactions using transition
state theory at 1 atm and temperatures ranging from 600 to 2000 K. Global rate
constant for the decomposition of the cyclic alkanes in molecular products have
been calculated. Comparison between calculated and experimental results allowed
to validate the theoretical approach. An important result is that the
rotational barriers between the conformers, which are usually neglected, are of
importance in decomposition rate of the largest biradicals. Ring strain
energies (RSE) in transition states for ring opening have been estimated and
show that the main part of RSE contained in the cyclic reactants is removed
upon the activation process.
"
